"HMDB.ID","Compound.Name","CSM5FZ3N","CSM5FZ3T","CSM5FZ48","CSM5FZ4A","CSM5FZ4O","CSM5MCTZ","CSM5MCU4","CSM5MCVH","CSM5MCWK","CSM5MCXB","CSM5MCXF","CSM5MCYU","CSM67U9T","CSM67U9V","CSM67U9X","CSM67UH7","CSM79HG4","CSM79HJE","CSM79HJG","CSM79HJI","CSM79HQL","CSM79HQN","CSM79HQR","CSM7KOQ7","ESM5MEB9","ESM5MEDZ","ESM5MEEG","HSM5FZBJ","HSM5MD3L","HSM5MD4S","HSM5MD5Z","HSM5MD7Z","HSM5MD82","HSM5MD86","HSM5MD87","HSM5MD8A","HSM5MD8H","HSM67VDR","HSM67VDX","HSM6XRQB","HSM6XRQC","HSM6XRQE","HSM7J4JT","HSM7J4JV","HSM7J4JW","HSM7J4LP","HSMA33NW","HSMA33NY","MSM5LLDI","MSM5LLEH","MSM5LLFG","MSM5LLIC","MSM5LLIS","MSM6J2H9","MSM6J2JF","MSM6J2JH","MSM6J2NA","MSM6J2PO","MSM6J2Q1","MSM79H8D","MSM79H94","MSM79HD6","MSM9VZFJ","MSM9VZM4","MSM9VZMM","PSM6XBQM","PSM6XBRK","PSM6XBSE","PSM7J188","PSMA265X"
"HMDB00479","3-methylhistidine",61003,1138270,79274,47532,27057,943723,1304065,187319,41714,5189,520476,14339,40439,24732,986272,54149,23722,353971,27628,182142,54004,122770,482151,199806,2109422,108992,252572,627851,346421,39256,64827,642689,125588,820748,1574234,75641,167628,2947510,1140,108625,54813,204789,437649,19128,198657,1991520,503799,1152668,511798,160003,779163,82359,3447027,168174,15981,86589,NA,273474,168550,76751,150151,101626,52440,40089,47198,364613,4500032,79046,7249792,3252291
"HMDB01886","3-methylxanthine",5250118,664533,2982625,2658385,16021,839338,7595602,1217438,1033460,1202095,2770766,3677975,4759286,687081,3707928,398,1473513,4472879,4717504,1936983,58840,2569614,2818329,2525333,514467,1099720,621610,335587,1657045,1474858,3164467,2355465,1154652,202244,1634445,3950319,1322305,3817673,287565,314823,3074862,107440,2816589,832096,1198958,372714,5557415,1039778,164397,339154,4792751,11318,8178653,16033084,5996423,773,NA,3247304,1027433,1213721,2611667,5625961,6422178,2868450,2918007,905693,2727243,1434786,505,1078914
"HMDB06023","3'-O-methyladenosine",14872203,3174287,10289475,12924151,7633142,8027526,18467835,604201,8728157,3763121,6113677,4790133,5036380,6076145,6696461,11810600,9754019,4249744,24740593,2494740,16726393,5179157,NA,11831607,2888366,4278342,2595577,NA,18046768,3320965,12544734,12201937,12432931,NA,3639784,4895460,9167937,5860899,2225312,7182165,NA,NA,3726743,11068313,18117022,NA,3755290,6635483,9848105,NA,4732385,9638202,2786851,4122341,3790698,11188385,11899232,1567912,9136692,14362959,7159806,11686523,10948611,21861708,27682709,3921365,13014844,1765270,1591141,5738957
"HMDB01169","4-aminophenol",10495,4421,40576,5633,15790,329,32419,684522,28214,2557,207068,4484,30932,5471,9612,16574,968,12402,57335,33088,24808,28694,12571,20313,17602,13813,7060,18806,10460,6825,8578,5372,3294,1839,32958,10521,31001,5664,19237,7643,78354,3665,9921,1607,58222,8131,13912,10545,5743,433,26819,21892,15246,10808,3976,8207,18567,16531,19436,NA,4537,24939,18648,25377,61369,208220,12192,54738,50919,10575
"HMDB03464","4-guanidinobutanoic acid",113630,325577,340046,1718047,133729,2816474,1109406,171329,740248,244019,537379,94423,305064,127468,1162677,364492,3486178,489955,263945,206355,217906,220242,1976969,140045,97613,342636,371573,41363,70799,236286,666277,504044,414903,400254,336452,200271,110070,214681,83599,207481,89312,79070,934194,140165,181269,757935,936961,242646,56995,194064,179735,259031,328888,416136,652213,195016,121012,63392,339578,162023,613187,2361245,226657,477754,716239,968655,345872,410341,169619,394049
"HMDB59824","4-hydroxy-3-methylacetophenone",8408,19748,13838,28032,12106,313819,31183,57043,23250,58663,13958,6459,17472,10647,40769,31033,18637,34551,56860,12484,42230,5368,76562,25192,27038,49988,11119,58437,3229,15077,73563,31607,19659,46337,20908,17424,12797,24030,20896,6248,159558,8814,22697,19430,14570,67372,35640,15019,63601,99247,14612,8266,40687,51212,17113,29174,13976,4921,32950,33401,16746,41001,14424,17585,18987,45883,19998,119314,32939,23345
"HMDB04400","5-acetylamino-6-amino-3-methyluracil",945922,25165,78129,705592,192134,NA,2329158,191033,39853,NA,134706,103599,441165,19752,390169,75061,45455,484324,302203,64307,869214,72917,107024,230727,NA,36122,8882,193,44071,50063,68728,156345,319,NA,17258,252709,65132,229725,8844,1605,60684,21588,207710,185259,4298,106718,160580,173907,178719,11838,468743,332881,278706,544937,586976,96214,30252,148230,795456,89380,31530,259939,182342,20659,162185,NA,70221,8967,36057,5249
"HMDB00897","7-methylguanine",4699000,6249219,2408724,3439608,90313,4646090,5913908,3639978,439420,1636170,2988678,5538959,3848364,2259119,5220184,309953,7137466,5162664,11849957,4942584,61800,1793587,8405227,5629107,2395616,8070638,8475906,3220218,561817,1920841,13918895,1153615,4049154,8096094,3361432,583971,5504918,6878552,4397301,2044511,8398532,269845,3181124,111239,5376140,8036772,10083835,272975,3653234,4731414,6157951,139232,4588378,5424810,2807296,192522,81075,161565,177169,211224,7046619,5697732,6101704,8816257,1575468,7354161,5125240,13383762,231550,4041105
"HMDB01991","7-methylxanthine",689931346,88152963,354600651,335257202,3505401,109012410,912457422,156945912,133143671,136062921,362653613,483374396,632384358,91133025,468773106,NA,195021820,579429461,609745402,236485321,8973466,346352928,277148649,342106400,66126576,137205641,81056309,42432113,211271456,196911045,404213290,305608951,152010083,26262057,208532026,529646399,177403754,466496951,38851141,41791090,412120520,13467491,358660000,97372516,156713785,45683307,726070114,138283433,22667552,40601733,620163842,NA,1086430144,2155192593,815480053,NA,NA,419179415,131188762,162099646,349787194,725479266,824693049,376089903,379817794,111830623,355109114,177628234,NA,139739570
"HMDB03333","8-hydroxy-deoxyguanosine",262360,270411,414949,945752,1232959,1500129,506358,748201,1524353,745463,440648,511360,390077,422857,1101474,3660776,1804406,1417766,1373729,2440328,1551878,692987,1329822,241639,595884,1981082,773333,770843,873704,325576,1459026,1963283,717802,13879175,390108,128023,331012,1374163,185488,190347,1288309,1290391,834367,1438370,954640,840047,695747,772869,49212,77127,708411,1028549,1110864,742668,266642,675363,437750,395169,1646129,1090282,760717,1488087,565131,1343336,1764421,1550436,927614,3477914,235738,489265
